file,import-purity,decode-never-cast,effects-are-values,no-third-party-di,no-third-party-stream,typed-errors-never-throw,pure-core-one-path,platform-io-boundary,no-class-as-service,composition-root-uniqueness,target-idiom-adoption,package-identity,capability-cohesion,dependency-direction,deletability,gate-reach
packages/testing/mutation/stryker-js/cli/src/LlmsManifest.ts,clean,clean,clean,clean,clean,clean,"SURVIVED F16 class :85,90,107,162",clean,"SURVIVED F18 class :148,327,417,428",clean,clean,clean,clean,clean,clean,clean
packages/testing/mutation/stryker-js/cli/src/OutputMode.ts,clean,clean,clean,clean,clean,clean,"SURVIVED F16 class :39,49,52,57",clean,"SURVIVED F18 class :59,218,219",clean,clean,clean,clean,clean,clean,clean
packages/testing/mutation/stryker-js/cli/src/OutputModeAdapter.ts,clean,clean,clean,clean,clean,clean,clean,clean,"SURVIVED F18 class :26,39,44",clean,clean,clean,clean,clean,clean,clean
packages/testing/mutation/stryker-js/cli/src/OutputModeConsoleState.ts,clean,clean,clean,clean,clean,clean,"SURVIVED F16 class :39,54,84",clean,"SURVIVED F18 class :65,66,67,68",clean,clean,clean,clean,clean,clean,clean
packages/testing/mutation/stryker-js/cli/src/RunEventStreamAdapter.ts,clean,clean,clean,clean,clean,clean,"SURVIVED F16 class :221,224,242,246",clean,"SURVIVED F18 class :45,70,73,225","SURVIVED F19 class :65,71,74","SURVIVED F20 class :149,198,298,319",clean,clean,clean,clean,clean
packages/testing/mutation/stryker-js/cli/src/StreamProtocol.ts,clean,clean,clean,clean,clean,clean,SURVIVED F16 class :26,clean,clean,clean,clean,clean,clean,clean,clean,clean
packages/testing/mutation/stryker-js/cli/src/StrykerCliExecutor.ts,clean,clean,SURVIVED F12 class :336,clean,clean,"SURVIVED F15 class :369,371,374,376","SURVIVED F16 class :237,269,388,389","SURVIVED F17 class :2,3","SURVIVED F18 class :131,137,274,294",clean,"SURVIVED F20 class :319,748,806,838",clean,clean,clean,clean,clean
packages/testing/mutation/stryker-js/cli/src/StrykerCliHandler.ts,clean,clean,clean,clean,clean,clean,"SURVIVED F16 class :57,101,339,351",clean,"SURVIVED F18 class :388,494,495,502",clean,SURVIVED F20 class :556,clean,clean,clean,clean,clean
packages/testing/mutation/stryker-js/cli/src/Survivors.workflow.ts,clean,clean,clean,clean,clean,clean,"SURVIVED F16 class :89,130,133,210",clean,"SURVIVED F18 class :305,317,417,422",clean,"SURVIVED F20 class :442,455",clean,clean,clean,clean,clean
packages/testing/mutation/stryker-js/cli/src/SurvivorsExit.ts,clean,clean,clean,clean,clean,clean,SURVIVED F16 class :9,clean,clean,clean,clean,clean,clean,clean,clean,clean
